YEAR,MONTH,DAY,Temperature
1937,10,9,6.67
1937,10,10,8.83
1937,10,11,10.94
1937,10,12,11.11
1937,10,13,4.0
1937,10,14,2.89
1937,10,15,5.89
1937,10,16,4.67
1937,10,17,9.28
1937,10,18,12.06
1937,10,19,14.72
1937,10,20,8.17
1937,10,21,7.17
1937,10,22,5.89
1937,10,23,2.83
1937,10,24,2.67
1937,10,25,4.11
1937,10,26,9.33
1937,10,27,8.22
1937,10,28,7.44
1937,10,29,7.67
1937,10,30,14.44
1937,10,31,6.89
1937,11,1,6.94
1937,11,2,10.39
1937,11,3,2.72
1937,11,4,2.17
1937,11,5,4.89
1937,11,6,6.11
1937,11,7,9.5
1937,11,8,12.0
1937,11,9,9.0
1937,11,10,7.44
1937,11,11,2.17
1937,11,12,4.44
1937,11,13,7.5
1937,11,14,5.56
1937,11,15,3.5
1937,11,16,4.56
1937,11,17,1.78
1937,11,18,-1.17
1937,11,19,-1.39
1937,11,20,-2.0
1937,11,21,-2.06
1937,11,22,-2.56
1937,11,23,-1.33
1937,11,24,-1.11
1937,11,25,2.89
1937,11,26,7.83
1937,11,27,4.72
1937,11,28,6.83
1937,11,29,-3.67
1937,11,30,-4.44
1937,12,1,-4.11
1937,12,2,-3.5
1937,12,3,-0.28
1937,12,4,0.89
1937,12,5,0.22
1937,12,6,-2.44
1937,12,7,-3.28
1937,12,8,-6.5
1937,12,9,-11.89
1937,12,10,-9.72
1937,12,11,-7.72
1937,12,12,-7.28
1937,12,13,-8.06
1937,12,14,-8.83
1937,12,15,-3.78
1937,12,16,0.94
1937,12,17,0.39
1937,12,18,1.5
1937,12,19,0.17
1937,12,20,-4.28
1937,12,21,-4.0
1937,12,22,2.17
1937,12,23,-6.72
1937,12,24,-3.61
1937,12,25,1.11
1937,12,26,-0.5
1937,12,27,-2.44
1937,12,28,3.0
1937,12,29,-1.5
1937,12,30,1.39
1937,12,31,0.11
1938,1,1,0.67
1938,1,2,-2.89
1938,1,3,-3.94
1938,1,4,-2.83
1938,1,5,-4.94
1938,1,6,-6.78
1938,1,7,-3.72
1938,1,8,-7.83
1938,1,9,-11.22
1938,1,10,-8.39
1938,1,11,-6.06
1938,1,12,0.0
1938,1,13,-0.39
1938,1,14,-3.44
1938,1,15,-5.44
1938,1,16,-1.11
1938,1,17,-2.44
1938,1,18,-10.89
1938,1,19,-10.72
1938,1,20,-4.72
1938,1,21,-1.56
1938,1,22,1.33
1938,1,23,0.61
1938,1,24,2.94
1938,1,25,-0.83
1938,1,26,-9.44
1938,1,27,-9.33
1938,1,28,-12.83
1938,1,29,-4.94
1938,1,30,4.0
1938,1,31,-4.78
1938,2,1,-11.94
1938,2,2,-4.83
1938,2,3,3.78
1938,2,4,0.67
1938,2,5,2.11
1938,2,6,9.0
1938,2,7,2.11
1938,2,8,0.94
1938,2,9,7.0
1938,2,10,-0.67
1938,2,11,-3.67
1938,2,12,-0.56
1938,2,13,6.22
1938,2,14,3.56
1938,2,15,-5.17
1938,2,16,-6.0
1938,2,17,-1.33
1938,2,18,3.61
1938,2,19,-0.72
1938,2,20,-1.89
1938,2,21,-3.28
1938,2,22,-1.28
1938,2,23,0.56
1938,2,24,-1.72
1938,2,25,-4.83
1938,2,26,-1.17
1938,2,27,0.39
1938,2,28,-7.22
1938,3,1,0.89
1938,3,2,2.78
1938,3,3,-9.0
1938,3,4,-10.11
1938,3,5,-0.33
1938,3,6,-2.67
1938,3,7,-0.94
1938,3,8,0.72
1938,3,9,-0.94
1938,3,10,-0.44
1938,3,11,1.44
1938,3,12,4.11
1938,3,13,7.67
1938,3,14,0.5
1938,3,15,-0.11
1938,3,16,6.17
1938,3,17,6.44
1938,3,18,4.72
1938,3,19,7.17
1938,3,20,12.94
1938,3,21,11.56
1938,3,22,15.0
1938,3,23,13.17
1938,3,24,4.17
1938,3,25,6.11
1938,3,26,7.17
1938,3,27,5.11
1938,3,28,4.89
1938,3,29,8.0
1938,3,30,13.06
1938,3,31,13.56
1938,4,1,4.44
1938,4,2,1.5
1938,4,3,-0.22
1938,4,4,-0.06
1938,4,5,-0.89
1938,4,6,-2.61
1938,4,7,1.5
1938,4,8,1.33
1938,4,9,1.11
1938,4,10,2.67
1938,4,11,8.44
1938,4,12,10.0
1938,4,13,13.11
1938,4,14,18.22
1938,4,15,16.28
1938,4,16,10.22
1938,4,17,15.28
1938,4,18,15.61
1938,4,19,15.83
1938,4,20,14.89
1938,4,21,6.83
1938,4,22,9.78
1938,4,23,6.44
1938,4,24,8.39
1938,4,25,10.39
1938,4,26,10.56
1938,4,27,17.11
1938,4,28,18.44
1938,4,29,10.17
1938,4,30,7.56
1938,5,1,12.06
1938,5,2,16.28
1938,5,3,16.78
1938,5,4,16.33
1938,5,5,18.72
1938,5,6,15.28
1938,5,7,12.33
1938,5,8,11.67
1938,5,9,9.22
1938,5,10,10.28
1938,5,11,6.56
1938,5,12,6.5
1938,5,13,8.72
1938,5,14,9.72
1938,5,15,10.67
1938,5,16,14.78
1938,5,17,13.67
1938,5,18,12.78
1938,5,19,17.33
1938,5,20,20.22
1938,5,21,13.0
1938,5,22,13.94
1938,5,23,14.72
1938,5,24,11.33
1938,5,25,12.11
1938,5,26,15.61
1938,5,27,16.28
1938,5,28,18.61
1938,5,29,19.28
1938,5,30,18.11
1938,5,31,16.94
1938,6,1,18.56
1938,6,2,20.56
1938,6,3,18.56
1938,6,4,19.44
1938,6,5,18.67
1938,6,6,20.0
1938,6,7,19.17
1938,6,8,16.17
1938,6,9,16.89
1938,6,10,18.67
1938,6,11,22.61
1938,6,12,17.89
1938,6,13,17.5
1938,6,14,18.83
1938,6,15,20.78
1938,6,16,22.28
1938,6,17,17.89
1938,6,18,17.0
1938,6,19,18.33
1938,6,20,20.78
1938,6,21,22.78
1938,6,22,24.56
1938,6,23,24.5
1938,6,24,25.44
1938,6,25,23.22
1938,6,26,16.0
1938,6,27,15.94
1938,6,28,16.94
1938,6,29,18.83
1938,6,30,19.56
1938,7,1,19.72
1938,7,2,19.5
1938,7,3,19.89
1938,7,4,19.67
1938,7,5,22.22
1938,7,6,24.11
1938,7,7,25.44
1938,7,8,26.89
1938,7,9,25.67
1938,7,10,23.17
1938,7,11,23.67
1938,7,12,23.56
1938,7,13,25.78
1938,7,14,25.5
1938,7,15,20.22
1938,7,16,22.28
1938,7,17,22.44
1938,7,18,21.89
1938,7,19,22.11
1938,7,20,23.28
1938,7,21,20.67
1938,7,22,21.94
1938,7,23,22.56
1938,7,24,22.06
1938,7,25,24.33
1938,7,26,24.44
1938,7,27,22.72
1938,7,28,25.17
1938,7,29,22.89
1938,7,30,23.94
1938,7,31,22.61
1938,8,1,23.17
1938,8,2,26.22
1938,8,3,27.28
1938,8,4,28.28
1938,8,5,24.78
1938,8,6,25.17
1938,8,7,25.61
1938,8,8,25.39
1938,8,9,25.39
1938,8,10,24.72
1938,8,11,25.06
1938,8,12,21.28
1938,8,13,22.61
1938,8,14,25.39
1938,8,15,27.94
1938,8,16,26.28
1938,8,17,23.28
1938,8,18,21.67
1938,8,19,24.22
1938,8,20,25.56
1938,8,21,21.83
1938,8,22,21.83
1938,8,23,22.44
1938,8,24,21.56
1938,8,25,18.44
1938,8,26,20.17
1938,8,27,20.72
1938,8,28,19.61
1938,8,29,22.67
1938,8,30,21.0
1938,8,31,22.28
1938,9,1,18.72
1938,9,2,14.56
1938,9,3,17.44
1938,9,4,21.89
1938,9,5,16.0
1938,9,6,15.67
1938,9,7,20.11
1938,9,8,16.39
1938,9,9,15.78
1938,9,10,17.22
1938,9,11,19.5
1938,9,12,22.39
1938,9,13,20.28
1938,9,14,18.56
1938,9,15,17.28
1938,9,16,14.0
1938,9,17,14.72
1938,9,18,17.33
1938,9,19,12.06
1938,9,20,11.22
1938,9,21,11.28
1938,9,22,12.5
1938,9,23,17.11
1938,9,24,17.11
1938,9,25,14.33
1938,9,26,19.56
1938,9,27,19.83
1938,9,28,15.94
1938,9,29,14.89
1938,9,30,12.28
1938,10,1,11.94
1938,10,2,10.22
1938,10,3,13.33
1938,10,4,13.06
1938,10,5,17.0
1938,10,6,10.72
1938,10,7,8.72
1938,10,8,13.56
1938,10,9,11.06
1938,10,10,15.44
1938,10,11,18.89
1938,10,12,18.72
1938,10,13,18.39
1938,10,14,13.78
1938,10,15,16.0
1938,10,16,17.61
1938,10,17,18.67
1938,10,18,15.72
1938,10,19,16.67
1938,10,20,8.0
1938,10,21,8.94
1938,10,22,12.5
1938,10,23,11.83
1938,10,24,5.22
1938,10,25,7.56
1938,10,26,12.11
1938,10,27,8.5
1938,10,28,6.17
1938,10,29,7.83
1938,10,30,7.94
1938,10,31,7.61
1938,11,1,7.0
1938,11,2,13.56
1938,11,3,14.56
1938,11,4,13.56
1938,11,5,13.33
1938,11,6,12.22
1938,11,7,14.0
1938,11,8,9.0
1938,11,9,2.78
1938,11,10,6.83
1938,11,11,10.56
1938,11,12,10.72
1938,11,13,12.44
1938,11,14,1.78
1938,11,15,-1.5
1938,11,16,0.22
1938,11,17,7.67
1938,11,18,8.56
1938,11,19,4.83
1938,11,20,5.33
1938,11,21,6.39
1938,11,22,5.44
1938,11,23,-1.5
1938,11,24,-1.72
1938,11,25,-3.11
1938,11,26,-1.67
1938,11,27,-5.17
1938,11,28,-2.72
1938,11,29,1.22
1938,11,30,1.5
1938,12,1,1.17
1938,12,2,0.06
1938,12,3,4.89
1938,12,4,4.61
1938,12,5,6.06
1938,12,6,3.39
1938,12,7,1.56
1938,12,8,2.33
1938,12,9,4.22
1938,12,10,2.89
1938,12,11,3.28
1938,12,12,1.11
1938,12,13,-2.67
1938,12,14,-0.5
1938,12,15,-6.33
1938,12,16,-1.56
1938,12,17,0.78
1938,12,18,-2.89
1938,12,19,-2.94
1938,12,20,-0.89
1938,12,21,0.0
1938,12,22,-3.78
1938,12,23,-0.5
1938,12,24,0.67
1938,12,25,-2.89
1938,12,26,0.28
1938,12,27,-5.39
1938,12,28,-10.61
1938,12,29,-4.94
1938,12,30,-8.94
1938,12,31,-10.44
1939,1,1,-6.28
1939,1,2,1.22
1939,1,3,-2.06
1939,1,4,-3.22
1939,1,5,5.0
1939,1,6,3.61
1939,1,7,3.94
1939,1,8,2.5
1939,1,9,3.5
1939,1,10,8.0
1939,1,11,2.06
1939,1,12,-2.11
1939,1,13,-3.06
1939,1,14,-3.28
1939,1,15,-3.11
1939,1,16,-0.89
1939,1,17,-3.61
1939,1,18,-5.44
1939,1,19,-5.89
1939,1,20,-6.61
1939,1,21,-1.5
1939,1,22,-2.94
1939,1,23,-10.11
1939,1,24,-3.39
1939,1,25,-11.78
1939,1,26,-13.0
1939,1,27,-8.28
1939,1,28,-3.11
1939,1,29,1.0
1939,1,30,-4.33
1939,1,31,-4.78
1939,2,1,-6.11
1939,2,2,1.61
1939,2,3,-3.11
1939,2,4,-8.11
1939,2,5,-4.61
1939,2,6,1.22
1939,2,7,0.56
1939,2,8,0.39
1939,2,9,-3.83
1939,2,10,1.61
1939,2,11,-8.83
1939,2,12,-5.28
1939,2,13,3.5
1939,2,14,1.72
1939,2,15,-3.33
1939,2,16,-11.67
1939,2,17,-2.72
1939,2,18,2.11
1939,2,19,4.11
1939,2,20,2.56
1939,2,21,-7.28
1939,2,22,-10.17
1939,2,23,-10.44
1939,2,24,-4.89
1939,2,25,-9.61
1939,2,26,-3.72
1939,2,27,-3.44
1939,2,28,1.56
1939,3,1,0.22
1939,3,2,-3.72
1939,3,3,2.33
1939,3,4,3.61
1939,3,5,2.44
1939,3,6,1.11
1939,3,7,-3.22
1939,3,8,-4.94
1939,3,9,0.61
1939,3,10,-0.89
1939,3,11,-1.72
1939,3,12,-1.22
1939,3,13,0.22
1939,3,14,1.33
1939,3,15,2.39
1939,3,16,-4.83
1939,3,17,-7.39
1939,3,18,-9.11
1939,3,19,-7.56
1939,3,20,1.17
1939,3,21,-3.06
1939,3,22,-0.56
1939,3,23,2.67
1939,3,24,11.61
1939,3,25,14.17
1939,3,26,11.94
1939,3,27,1.72
1939,3,28,-1.28
1939,3,29,-1.28
1939,3,30,1.11
1939,3,31,1.72
1939,4,1,4.39
1939,4,2,2.0
1939,4,3,2.83
1939,4,4,2.5
1939,4,5,3.39
1939,4,6,2.72
1939,4,7,-1.39
1939,4,8,1.56
1939,4,9,-0.17
1939,4,10,2.11
1939,4,11,3.72
1939,4,12,-0.5
1939,4,13,2.06
1939,4,14,3.78
1939,4,15,4.83
1939,4,16,4.06
1939,4,17,5.61
1939,4,18,9.11
1939,4,19,4.89
1939,4,20,7.0
1939,4,21,6.72
1939,4,22,8.33
1939,4,23,13.28
1939,4,24,17.06
1939,4,25,18.5
1939,4,26,15.89
1939,4,27,15.28
1939,4,28,9.22
1939,4,29,10.0
1939,4,30,10.0
1939,5,1,5.89
1939,5,2,5.94
1939,5,3,8.11
1939,5,4,12.89
1939,5,5,17.5
1939,5,6,21.39
1939,5,7,20.22
1939,5,8,20.33
1939,5,9,17.89
1939,5,10,17.78
1939,5,11,11.11
1939,5,12,6.94
1939,5,13,9.56
1939,5,14,13.0
1939,5,15,14.72
1939,5,16,10.67
1939,5,17,14.39
1939,5,18,10.17
1939,5,19,17.11
1939,5,20,19.22
1939,5,21,17.94
1939,5,22,18.06
1939,5,23,16.94
1939,5,24,13.83
1939,5,25,16.83
1939,5,26,19.17
1939,5,27,21.33
1939,5,28,22.72
1939,5,29,15.44
1939,5,30,20.39
1939,5,31,25.39
1939,6,1,20.56
1939,6,2,20.0
1939,6,3,22.17
1939,6,4,19.61
1939,6,5,22.28
1939,6,6,23.33
1939,6,7,23.06
1939,6,8,23.56
1939,6,9,22.5
1939,6,10,20.61
1939,6,11,19.06
1939,6,12,13.56
1939,6,13,12.67
1939,6,14,14.89
1939,6,15,19.61
1939,6,16,16.78
1939,6,17,21.78
1939,6,18,17.89
1939,6,19,19.78
1939,6,20,23.06
1939,6,21,21.61
1939,6,22,22.39
1939,6,23,20.39
1939,6,24,22.44
1939,6,25,22.11
1939,6,26,22.61
1939,6,27,23.17
1939,6,28,24.33
1939,6,29,23.17
1939,6,30,21.67
1939,7,1,20.56
1939,7,2,19.06
1939,7,3,22.5
1939,7,4,23.83
1939,7,5,23.61
1939,7,6,26.72
1939,7,7,27.22
1939,7,8,27.67
1939,7,9,23.94
1939,7,10,20.72
1939,7,11,20.22
1939,7,12,24.56
1939,7,13,27.67
1939,7,14,23.28
1939,7,15,17.72
1939,7,16,17.44
1939,7,17,19.5
1939,7,18,20.94
1939,7,19,21.78
1939,7,20,22.11
1939,7,21,22.28
1939,7,22,22.22
1939,7,23,23.67
1939,7,24,24.06
1939,7,25,26.56
1939,7,26,25.33
1939,7,27,26.06
1939,7,28,24.89
1939,7,29,20.5
1939,7,30,19.56
1939,7,31,23.39
1939,8,1,25.06
1939,8,2,24.0
1939,8,3,25.22
1939,8,4,22.67
1939,8,5,22.83
1939,8,6,24.78
1939,8,7,23.72
1939,8,8,23.44
1939,8,9,23.39
1939,8,10,20.94
1939,8,11,22.72
1939,8,12,24.06
1939,8,13,25.44
1939,8,14,22.61
1939,8,15,23.56
1939,8,16,23.56
1939,8,17,21.22
1939,8,18,23.28
1939,8,19,24.11
1939,8,20,21.67
1939,8,21,21.56
1939,8,22,19.89
1939,8,23,20.89
1939,8,24,21.44
1939,8,25,19.5
1939,8,26,19.11
1939,8,27,20.78
1939,8,28,21.17
1939,8,29,22.06
1939,8,30,20.72
1939,8,31,20.33
1939,9,1,22.22
1939,9,2,23.89
1939,9,3,25.22
1939,9,4,23.94
1939,9,5,16.94
1939,9,6,16.22
1939,9,7,24.39
1939,9,8,23.83
1939,9,9,18.22
1939,9,10,17.94
1939,9,11,13.22
1939,9,12,16.78
1939,9,13,18.67
1939,9,14,25.56
1939,9,15,27.39
1939,9,16,27.28
1939,9,17,18.17
1939,9,18,14.5
1939,9,19,15.39
1939,9,20,15.94
1939,9,21,13.83
1939,9,22,16.94
1939,9,23,19.39
1939,9,24,14.83
1939,9,25,18.61
1939,9,26,8.78
1939,9,27,12.17
1939,9,28,14.78
1939,9,29,21.0
1939,9,30,9.33
1939,10,1,7.28
1939,10,2,10.83
1939,10,3,13.33
1939,10,4,15.72
1939,10,5,17.28
1939,10,6,19.22
1939,10,7,14.56
1939,10,8,21.28
1939,10,9,20.78
1939,10,10,20.72
1939,10,11,13.11
1939,10,12,10.5
1939,10,13,7.44
1939,10,14,4.67
1939,10,15,3.78
1939,10,16,10.56
1939,10,17,5.28
1939,10,18,4.39
1939,10,19,16.39
1939,10,20,10.67
1939,10,21,13.72
1939,10,22,10.83
1939,10,23,5.39
1939,10,24,6.06
1939,10,25,10.39
1939,10,26,13.94
1939,10,27,18.22
1939,10,28,5.11
1939,10,29,2.83
1939,10,30,6.89
1939,10,31,4.61
1939,11,1,4.44
1939,11,2,2.72
1939,11,3,0.78
1939,11,4,0.0
1939,11,5,3.56
1939,11,6,3.94
1939,11,7,2.78
1939,11,8,5.0
1939,11,9,1.5
1939,11,10,8.39
1939,11,11,0.94
1939,11,12,1.61
1939,11,13,2.61
1939,11,14,3.89
1939,11,15,5.67
1939,11,16,10.56
1939,11,17,7.78
1939,11,18,8.94
1939,11,19,3.72
1939,11,20,0.5
1939,11,21,1.39
1939,11,22,2.39
1939,11,23,1.39
1939,11,24,3.39
1939,11,25,0.78
1939,11,26,-0.61
1939,11,27,0.78
1939,11,28,2.89
1939,11,29,0.67
1939,11,30,4.22
1939,12,1,5.39
1939,12,2,6.72
1939,12,3,4.28
1939,12,4,0.0
1939,12,5,-0.61
1939,12,6,1.94
1939,12,7,5.28
1939,12,8,3.11
1939,12,9,3.78
1939,12,10,6.89
1939,12,11,0.56
1939,12,12,1.17
1939,12,13,3.28
1939,12,14,-2.5
1939,12,15,-1.78
1939,12,16,3.5
1939,12,17,5.22
1939,12,18,5.39
1939,12,19,7.17
1939,12,20,2.72
1939,12,21,-1.89
1939,12,22,-1.28
1939,12,23,-2.33
1939,12,24,-3.72
1939,12,25,-0.94
1939,12,26,-0.44
1939,12,27,-6.78
1939,12,28,-8.0
1939,12,29,-4.39
1939,12,30,-4.72
1939,12,31,-10.33
1940,1,1,-8.33
1940,1,2,-6.94
1940,1,3,-6.67
1940,1,4,-8.94
1940,1,5,-9.61
1940,1,6,-5.78
1940,1,7,-6.22
1940,1,8,-7.17
1940,1,9,-9.39
1940,1,10,-5.39
1940,1,11,-1.06
1940,1,12,1.61
1940,1,13,-0.5
1940,1,14,2.67
1940,1,15,-1.83
1940,1,16,-11.61
1940,1,17,-12.5
1940,1,18,-13.44
1940,1,19,-18.78
1940,1,20,-12.22
1940,1,21,-7.78
1940,1,22,-5.17
1940,1,23,-5.78
1940,1,24,-5.83
1940,1,25,-8.5
1940,1,26,-9.56
1940,1,27,-8.61
1940,1,28,-7.33
1940,1,29,-7.61
1940,1,30,-5.0
1940,1,31,-9.72
1940,2,1,-2.67
1940,2,2,-8.28
1940,2,3,-3.5
1940,2,4,-2.17
1940,2,5,-0.44
1940,2,6,-0.5
1940,2,7,-0.83
1940,2,8,-1.94
1940,2,9,-5.0
1940,2,10,-3.44
1940,2,11,-3.89
1940,2,12,-0.17
1940,2,13,-4.72
1940,2,14,-4.61
1940,2,15,-4.78
1940,2,16,-5.61
1940,2,17,-3.78
1940,2,18,-1.67
1940,2,19,1.61
1940,2,20,1.0
1940,2,21,-3.39
1940,2,22,-4.28
1940,2,23,-3.22
1940,2,24,-0.89
1940,2,25,-8.72
1940,2,26,-8.78
1940,2,27,-3.28
1940,2,28,-0.83
1940,2,29,-2.5
1940,3,1,-3.72
1940,3,2,-5.11
1940,3,3,1.0
1940,3,4,1.11
1940,3,5,0.33
1940,3,6,0.11
1940,3,7,-1.72
1940,3,8,-1.78
1940,3,9,-2.0
1940,3,10,-5.28
1940,3,11,-7.11
1940,3,12,-7.83
1940,3,13,-3.44
1940,3,14,-0.94
1940,3,15,-4.33
1940,3,16,-1.67
1940,3,17,-0.72
1940,3,18,-0.06
1940,3,19,1.33
1940,3,20,-1.22
1940,3,21,-4.33
1940,3,22,-7.06
1940,3,23,-11.28
1940,3,24,-11.67
1940,3,25,-9.33
1940,3,26,-6.0
1940,3,27,-1.67
1940,3,28,-0.83
1940,3,29,6.17
1940,3,30,8.06
1940,3,31,5.72
1940,4,1,2.5
1940,4,2,2.0
1940,4,3,3.44
1940,4,4,4.56
1940,4,5,3.17
1940,4,6,5.11
1940,4,7,5.94
1940,4,8,8.78
1940,4,9,7.0
1940,4,10,3.06
1940,4,11,4.28
1940,4,12,-4.06
1940,4,13,-2.28
1940,4,14,-0.33
1940,4,15,6.5
1940,4,16,5.5
1940,4,17,5.22
1940,4,18,6.0
1940,4,19,4.78
1940,4,20,5.78
1940,4,21,6.33
1940,4,22,6.72
1940,4,23,5.39
1940,4,24,6.67
1940,4,25,5.61
1940,4,26,6.61
1940,4,27,6.72
1940,4,28,8.78
1940,4,29,12.78
1940,4,30,17.11
1940,5,1,12.56
1940,5,2,2.67
1940,5,3,3.28
1940,5,4,6.5
1940,5,5,10.5
1940,5,6,17.17
1940,5,7,12.06
1940,5,8,7.78
1940,5,9,10.39
1940,5,10,10.28
1940,5,11,10.61
1940,5,12,13.33
1940,5,13,19.0
1940,5,14,17.83
1940,5,15,15.61
1940,5,16,8.39
1940,5,17,8.06
1940,5,18,11.22
1940,5,19,13.11
1940,5,20,16.39
1940,5,21,16.0
1940,5,22,18.61
1940,5,23,14.11
1940,5,24,12.06
1940,5,25,13.0
